Player,PlayerID,OldPP,WeightedUP,AverageDelta,AverageFactor
gamer228666,5981005,18042.00902832345,17613.943087689644,-18.1848977690305,0.38482771246449393
leancat,14573462,17373.714791363953,17598.88811920212,4.043938340951432,0.02301537075483655
Choofy,24409289,18278.83173602519,17575.614058497482,-15.344901388411827,0.27088435731945015
Suyung_,8472976,17103.685340840322,17571.115013366172,2.103386380328451,0.17476677881031294
Bubbleman,5182050,17407.993644718557,17567.79503630601,6.385162278813314,0.13578541246182593
Thornnn,24371637,18160.86873684908,17564.142040995506,-35.05997874383016,0.6665944489110691
VoProSSoFF,6524092,17876.834697072238,17559.200627325958,-7.235483759668986,0.21303741929936215
trumpatino69,10903510,18112.578256804143,17558.978305009092,-22.821093170863325,0.46505885726601137
z9a,13057699,17351.604435860663,17554.58608276329,-4.317503688832969,0.35032449672953786
Tofunim,3893786,17918.863974819407,17542.448820372927,-12.482743460392683,0.26293674560456953
bananachi,17446380,17507.035266865256,17531.6462631289,-11.020815895067608,0.30762703472126995
Apostol,9902255,17737.454914072103,17529.90186163287,-0.10699149395036783,0.24693145167430533
FGSky,2094566,17231.76839926858,17506.812649801872,8.684698746712767,0.028636889015140037
Dreamz,18903701,17938.567633449657,17495.516422100256,-16.51501210964133,0.3117780244598974
wuhua,2932510,17825.275851116676,17476.162868825002,-14.457731896124876,0.26817204591350857
R1cho,13065919,17363.88704830529,17471.3481643738,-4.339215121958592,0.2795572489378253
Riot,4256461,17057.13728207295,17449.442830299886,3.42687546013311,0.19603070447317042
RafaMat,10743390,17610.309304739283,17430.357959846617,-14.88597241979675,0.3801075209550357
Andros,9072586,17656.410922796764,17424.282286954774,-2.5937348062447825,0.1898554242713956
9I DePeBO,13470496,17781.999074301635,17402.05747617682,-8.243463830191175,0.35574866273964956
hoanito,7724148,17309.737112529474,17382.889715916685,3.3429794688722176,0.07296409183930046
YMD,17202789,16678.062216148828,17377.702416902113,18.22153715135344,0.026589370899637546
ULTRABAYMAX1562,15587374,17204.281166034823,17372.53693925004,5.182249452924311,0.2711716941980367
Chamqp,18604347,17791.330654325728,17370.386730422324,-13.816352201400148,0.22440188128369098
Neinja,12632867,16296.759045325423,17361.263141200066,18.06947446450642,0.1259988726504374
KappaMarz,17663097,16124.205982283389,17359.843393728042,45.55941357875918,0.13844062579408345
TrickyPugster,8082362,17377.721260329192,17349.598920132532,-5.6056900240242395,0.17479482643706812
Rupertion,5774823,17167.840216327615,17341.722904072933,11.265815541996558,0.00969953619805956
criller,8116659,16795.860477447568,17291.28553600279,18.64827153520623,0.037841062299946965
kotkotyar,12197743,18297.445988678894,17258.435764584658,-36.617262171425864,0.6776971178607252
MyAngelMiku,7025429,17514.03064937417,17248.79517542389,-4.953981047146646,0.1802614161357438
sylriu,12637617,17563.549593573785,17241.97949908671,-11.251137874774372,0.21232813163240968
Shower Head,2214428,17492.911738365085,17240.01866188905,-4.2660817411758725,0.1385935559154563
lolol233,11375105,17071.806804165775,17205.3951958348,-9.503294491380284,0.3155048562763867
NeliNyan,2511839,16186.640896275218,17197.1432981834,25.824796657508827,0.03296114435882171
Swiq,11269055,17036.4935508284,17163.149815758403,-5.223359844824837,0.1823751413003151
PikaPwn,2012453,16614.356566562437,17124.83847982338,10.045104256858377,0.05433772198094621
Master Oogway,5319959,17021.398784421588,17118.947609970714,7.551191417724797,-0.08695549703381344
synoxa,10333154,17813.559469826865,17105.34938480724,-12.653042339639994,0.2925329913995499
SaintSFT,14970132,16944.018987275947,17103.841641140225,8.267137251794678,-0.03603136965859406
