BeatmapID,TotalWeightedPP,AppearanceCount,Placements,Title,DifficultyName
899732,63.2853,3,"76,65,73",Amakakeru Hoshi TV ver.,Masquerade
1191920,46.6318,3,"77,85,79",Inai Sekai,Extra
2069841,76176.8193,188,"78,9,100,34,31,76,20,69,22,57,19,75,21,8,65,43,1,8,84,1,27,26,42,6,55,92,75,1,11,34,4,4,6,93,26,39,4,19,58,37,44,1,37,64,4,35,6,50,19,78,20,3,6,88,2,6,53,1,7,6,10,8,66,5,4,59,3,18,9,3,61,5,94,9,12,6,2,29,20,57,2,54,19,21,61,5,1,9,1,1,77,1,16,12,61,11,5,11,32,36,55,98,10,41,89,8,33,16,26,7,11,42,11,64,2,69,24,80,3,66,1,2,2,1,24,64,86,4,69,70,61,77,1,72,45,1,8,32,50,1,3,13,23,20,65,7,32,8,64,79,99,14,14,64,26,12,26,7,7,43,3,2,33,1,25,4,1,23,17,1,16,8,28,17,18,27,6,2,76,6,2,2,2,27,99,15,39,8",Wizard's Tower,Ultimate Magic
1935389,307.6506,9,"79,71,65,51,44,48,99,59,91",Happy End no Intro ga Kikoeru,Brightly
1016701,882.6046,7,"81,92,97,44,5,97,87",Justability,Amamiya Nathan's Shooting Star
4419660,847.4487,8,"83,31,75,88,95,75,61,9",Gotta Go Fast (TV Size),SPEED OF SOUND
2419085,19079.7508,82,"84,93,46,21,93,33,96,45,46,52,67,11,14,97,17,40,81,63,82,70,4,2,74,49,26,7,30,65,88,61,40,8,21,20,2,38,53,7,62,1,49,81,10,61,46,98,13,49,1,26,22,10,84,1,30,94,45,41,78,10,26,89,49,4,24,10,56,17,75,46,83,59,4,17,25,95,80,19,23,77,43,61",Kakurenbo,"Ready, Set, Go!"
1725346,19.1167,2,"85,98",Unhappy End World,kotachi's Happiness
2593620,3563.3844,16,"86,20,13,81,84,27,6,68,31,46,64,7,26,12,76,36",Songs Compilation IV,Marathon
2083439,2624.1935,22,"87,42,58,47,63,16,78,19,91,50,27,52,79,55,47,87,95,14,17,94,85,24",Metal Crusher,It's Showtime!
4475450,569.0889,3,"88,19,26",Kinou no Atashi ni Maketakunai no,Adoration
3069102,3314.2463,24,"89,98,46,94,51,18,92,54,97,69,73,80,95,38,37,12,61,17,25,34,63,22,13,11",Aoiro Step (Short Ver.),Affection
3994410,135.2845,3,"91,81,39",Bokura dake no Shudaika,Forbidden Flame
2599514,413.7719,7,"92,97,94,68,95,77,16",Doro no Bunzai de Watashi dake no Taisetsu o Ubaouda nante,Extreme
972691,3416.5148,18,"93,51,36,19,22,10,53,30,51,92,34,79,30,55,88,2,62,17",Sendan Life,Extra
2638888,740.6622,6,"94,54,56,29,63,15",Zutto Summer de Koishiteru,Akitoshi's Extreme
4024422,7.825,1,96,Yoru ga Akeru,Extra
3042164,4655.7989,28,"97,97,47,88,89,40,39,72,58,21,13,63,63,5,68,61,69,84,5,40,13,7,68,91,11,86,93,54",Ranbu no Melody (Cut Ver.),Mugetsu
5100148,651.9964,8,"99,53,37,79,51,39,78,25",Break Of A Heartache,Kuki's Extreme
5731827,6483.6322,19,"14,98,53,16,69,7,14,46,16,53,84,22,21,3,12,9,57,1,7",RuLe (Cut Ver.),EXTRA
5474445,11604.7152,63,"20,95,37,20,48,35,19,56,77,34,98,47,97,54,18,62,97,66,87,41,99,12,69,42,24,10,60,44,26,15,26,43,28,91,63,6,42,40,45,46,54,95,2,91,68,34,27,53,47,27,83,35,2,84,1,61,6,77,4,34,73,78,8",ESSE CARA!,EXTRA!
5454622,6564.7485,36,"26,97,48,63,59,49,58,4,98,63,4,16,28,19,96,19,6,76,54,63,49,62,82,16,56,27,67,44,12,58,91,54,38,42,19,46",clarity rmx (hayakou bootleg) (cut ver.),quantumvortex's ultra
5093443,5450.9689,33,"29,92,68,30,31,84,87,25,87,38,75,58,14,44,8,40,20,86,48,26,20,10,80,8,33,64,39,63,23,36,46,25,97",Valour Against All Odds,Nightmare
4921665,3948.6555,42,"32,59,72,21,53,97,64,92,31,23,93,93,37,35,72,75,24,89,50,30,13,72,76,34,46,25,64,39,33,94,54,62,32,52,34,24,32,53,80,92,83,83",R U 4 Me? (Cut Ver.),extreme
5109227,2993.1151,22,"34,27,88,61,66,76,96,59,49,88,48,50,35,4,51,80,32,55,7,20,93,32",NBTSA,Sunken City by The Ocean
4857997,10835.8311,85,"41,15,73,40,67,61,78,94,99,90,78,75,25,99,30,40,30,80,45,26,58,74,33,27,17,78,18,66,86,31,78,52,91,49,77,61,13,8,78,92,18,73,97,62,4,73,21,64,84,35,79,46,30,72,16,16,74,67,31,87,66,64,8,5,59,84,89,13,69,56,55,13,98,61,71,94,29,66,53,1,51,50,48,40,59",Zetsubou plantation (Cut Ver.),Reform's Extra
4978360,1992.5306,16,"44,51,14,57,36,23,64,44,33,35,81,46,26,40,47,86",Yotsuya-san ni Yoroshiku (Cut Ver.),Hayakou's Extra
4871245,3824.0576,29,"47,77,43,8,35,57,67,84,58,43,48,72,53,54,64,84,86,90,23,47,16,31,65,1,18,67,46,24,78",Parasite (Cut Ver.),Vermin
5731235,7680.0382,23,"51,50,24,13,22,43,94,35,2,7,14,3,92,3,4,81,99,18,74,19,10,8,27",MONTAGEM BATCHI,EXTRA
4919463,820.8935,9,"55,95,35,28,45,91,40,29,90",Nevermind (feat. Justin Magnaye) (Nightcore Mix),Hayakou's Extreme
